year,trajectory_alpha_china,trajectory_beta_russia,trajectory_gamma_global_south,alpha_probability,beta_probability,gamma_probability,alpha_annual_rate,beta_annual_rate,gamma_annual_rate
2025,1.000,1.000,1.000,0.68,0.54,0.45,0.062,0.038,0.071
2026,1.062,1.038,1.071,0.68,0.54,0.45,0.062,0.038,0.071
2027,1.128,1.077,1.147,0.68,0.54,0.45,0.062,0.038,0.071
2028,1.198,1.118,1.228,0.68,0.54,0.45,0.062,0.038,0.071
2029,1.272,1.160,1.315,0.68,0.54,0.45,0.062,0.038,0.071
2030,1.351,1.204,1.409,0.68,0.54,0.45,0.062,0.038,0.071
2031,1.435,1.250,1.509,0.68,0.54,0.45,0.062,0.038,0.071
2032,1.524,1.297,1.616,0.68,0.54,0.45,0.062,0.038,0.071
2033,1.618,1.347,1.731,0.68,0.54,0.45,0.062,0.038,0.071
2034,1.719,1.398,1.854,0.68,0.54,0.45,0.062,0.038,0.071
2035,1.826,1.451,1.986,0.68,0.54,0.45,0.062,0.038,0.071

# Data sources:
# OECD Skills Outlook (2023)
# McKinsey Global Institute (2021)
# Bayesian scenario modeling (2020-2024 policy trajectories)
#
# Model: P(t) = P₀(1 + r)^t where t = years since 2025
#
# Trajectory Alpha (China): 6.2% annual productivity growth
#   - Centralized AI integration, 85% workforce in continuous learning by 2035
#   - Probability: 0.68 (high confidence given governance capacity)
#   - Trade-off: Reduced autonomy, innovation ceiling risk
#
# Trajectory Beta (Russia): 3.8% annual productivity growth  
#   - Technological sovereignty focus, 40% in digital sectors by 2035
#   - Probability: 0.54 (moderate confidence, depends on global integration)
#   - Trade-off: Limited access to global innovation
#
# Trajectory Gamma (Global South): 7.1% annual productivity growth
#   - Leapfrog development, demographic dividend exploitation
#   - Probability: 0.45 (lower confidence, higher variance)
#   - Risk: Uneven development, intra-national inequality
